Id,Tweet,Nom
1338827124648513539,RT @peterjhasson: Biden HHS nominee was an investor in company sued over elder abuse claims https://t.co/6XWs14Kp2w #FoxNews,Trump Won in a Landslide #StopTheSteal⭐ ⭐ ⭐
1338827123205685248,"RT @NikkeiAsia: Although #HongKong has tightened controls over both local and foreign media, ""the best way to protest against any form of '…",Ho KamYiu 😷
1338827122962534404,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,meanie
1338827120118800384,RT @mahwashajaz_: We literally saw how everyone wanted a strict lockdown &amp; now the same people are pushing the idea that people are/should…,Naimat Khan
1338827119519027200,@NtcryPtoOp @freep Lol politics.,gypsyqueen
1338827118680092672,RT @Dorianlynskey: All I want for Christmas is for one terrible person in politics or the media to face some kind of consequences for their…,Scott Nicholson
1338827118256431105,RT @sreenshri: The sneaky little fellow is saying no political party is allowed at the farmers protest &amp; no one is allowed to play politics…,💜💙SAMEERa✋🏼💙💜
1338827118109552642,RT @MotherJones: What Biden can do to boost the economy without any help from Congress https://t.co/1p0QUlfS8k,Amos52
1338827117698686978,US Election: Betfair market settlement latest https://t.co/MgNsImB35I,Gerard jones
1338827115106537472,RT @nytpolitics: President Trump said that Attorney General William Barr would depart next week. Barr had in recent weeks fallen out of fav…,kim
1338827115085623297,"RT @NewStatesman: Boris Johnson will forever be remembered as the Prime Minister who crashed the British economy on purpose, writes @JonnEl…",Liz Wild
1338827114494251009,RT @CNN: The Trump administration will sanction Turkey for its purchase of a Russian surface-to-air missile system more than a year after A…,GzG
1338827113932140550,"RT @simondolan: 9 months late.

Taxpayer money being thrown around to their mates like confetti for all this time, and now they decide to l…",Angry of Tunbridge Wells #KBF
1338827112656953344,@RaveenKr @sandythapar @akshayanand2002 @bsdhanoa @rwac48 @TheSatishDua @PravinSawhney @ArvindKejriwal What happene… https://t.co/4AtmOma9Bc,AAP Ka Vikram 🏹
1338827108118827009,"RT @David_Mulroney: 1/3 Barton advised Ottawa while his firm, McKinsey, advised Purdue Pharma, maker of OxyContin, which was being sued by…",David Pasko_OCT 光復香港時代革命
1338827105254117378,One of your neighbors published an article in the Politics &amp; Government section. Read their story on Patch. (The vi… https://t.co/RWIeFb1Tle,Wilton Patch
1338827105136762880,"RT @soldierspeaks: In an ideal world, where people not politics are top priority for the ruling classes, collaboration among China-Pakistan…",sajid
1338827104977350656,"RT @JohnJHarwood: this is what naked racism looks like:

“Giuliani called out several Black election workers in Fulton County, alleging tha…",Faith Shields
1338827104775966723,RT @ABC: Retiring Rep. Paul Mitchell of Michigan says he is leaving the Republican Party and becoming an independent over his disgust with…,Jess Samuel
1338827103957962752,RT @MotherJones: What Biden can do to boost the economy without any help from Congress https://t.co/1p0QUlfS8k,Dr. Diane Kistner
1338827102418837504,@dortoblo @Sia89791487 @LumpyLouish @jamie_elizabeth This isn't about a symbolic or pyrrhic victories. This is how… https://t.co/JOl35bVQS0,LCMWrites
1338827102179774464,Suspected Russian Hack Said to Have Gone Undetected for Months https://t.co/8mPC2JResa,Don Belisle-Sandra Negron Realty
1338827099415580672,RT @Dorianlynskey: All I want for Christmas is for one terrible person in politics or the media to face some kind of consequences for their…,LA Julian
1338827095095586816,"the reality is that
the English upper class
doesn’t just con its fellow countrymen,
but the wider world as well 

J… https://t.co/pN20xWYO96",Anand Madhvani
1338827094072168450,"RT @MSNBC: ""As I saw that amicus brief as well as the discussions over the weekend in the national media, it became clear to me that I coul…",ReBirPH
1338827092771868678,RT @MSNBC: President-elect Biden gives his most scathing indictment yet of the attempts by President Trump and his allies to overturn Novem…,nelbuffalo63
1338827090645442562,"Everything rises and falls on politics, my friend.

Elections have consequences and this insecurity issue (which is… https://t.co/UYt28WFZyy",ODDnigerian
1338827090121138178,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",Christopher Dearborn
1338827089634611202,"The EU really don't get it do they?
What is it they don't understand about Sovereignty? Is it that the EU can never… https://t.co/E6VblND2MW",SeaBouy. Scrap the UNELECTED House of Lords!!!
1338827089630425088,"@Politics_Polls Very excited, as a leftist, to not vote in 2024",💥🌹 and other cool ways to annoy boomers
1338827088653144068,RT @Shehzad_Ind: So AAP in Delhi notified the new farm laws and in its 2017 Punjab manifesto promised private push to agri markets and amen…,Preeti Joshi
1338827088116256769,"@GwenGraham Unfortunately though I agree that Desantis doesn’t belong anywhere near political office, Florida is th… https://t.co/snvZ9qMpdF",Daisy
1338827088112062467,RT @NBCNews: President-elect Biden gives his most scathing indictment yet of the attempts by President Trump and his allies to overturn Nov…,Daly-BidenIsMyPresident 🥁
1338827087294070786,"RT @Slate: Trumpworld downplayed the impact of the coronavirus, while taking zero personal responsibility for spreading it liberally amongs…",brian e.
1338827086719561729,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",kit
1338827085964578818,"REMINDER: ACA open enrollment ends today. 

but is it reaching the right people? @BenjySarlin &amp; @SRuhle report.… https://t.co/E9uPp16SB3",Lauren Peikoff
1338827085591302145,@TheNewEuropean Brilliant! And depressing that the Clown feels like the way British politics is going. I know how G… https://t.co/epfIuv5wwN,Cynical Archivist
1338827084878270468,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,evan ✦
1338827084051918851,"RT @CNNPolitics: Rep. Paul Mitchell announces he's quitting the Republican Party, citing President Trump's efforts to overturn the election…",WLRosy1
1338827082999193602,"RT @mattyglesias: When people yelled at Bernie (and Ezra) about this, I assumed it was just primary brain but I discovered recently that ma…","Robert, part of your in-group"
1338827082688835587,"@getachew_temare @wdavison10 You’re presuming they’re ok with the preceding events Getch.
With the barricading of f… https://t.co/H8O55fr2Fj",👉🏽🤛🏽Habesha Hokage ハベシャ ホッケージ 🇪🇹🏁
1338827082491719688,RT @CNN: The Trump administration will sanction Turkey for its purchase of a Russian surface-to-air missile system more than a year after A…,mcatat beta
1338827082231656449,"RT @simondolan: 9 months late.

Taxpayer money being thrown around to their mates like confetti for all this time, and now they decide to l…",Tony 'Gilets Jaunes'
1338827080734224384,"@0xDEADBEEFCAFE @business Wrong: Bloomberg is dangerous, same as Soros György. Interfering in EU-, World-politics.… https://t.co/4DWSIfPFH5",Dick Conijn
1338827080155373568,RT @BillPascrell: Barr lied about the contents of the Mueller Report’s findings to the public right out of the gate and repeatedly lied abo…,Deborah Christian
1338827076250513409,RT @aminoff: @JoeConchaTV All lefties who will bring their politics with them and change Texas from red to blue.,Joshua Galka
1338827073750618113,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",NZCatfood
1338827073067102214,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",Freedom is in danger
1338827071435497474,"RT @dianabutlerbass: Dear @JoeNBC: Instead of having two men on the show talking about a woman (in this case, Beth Moore), interview the wo…",John P
1338827067891310595,"RT @TheCartHorse1: @pamelahartbooks Definitely Australia too.

We should call on people like Sir John Major and @BernieSanders to come toge…",Mark Draper
1338827066410594304,"RT @Here_Is_Akash: #UPMeinBhiKejriwal
Those who are fed up with BJP, Congress &amp; caste based politics in UP 👇 https://t.co/fcgQg5cfmX",anandparaniya
1338827065672388609,"RT @EconomicTimes: Karnataka Assembly ruckus: Congress MLCs behaved like ‘goons’, says BJP's Lehar Siroya | Read more at: https://t.co/QLHd…",CHANDAN MAITY
1338827065542504451,"After the White House, Trump faces uncertain future and legal threats.
The corrupt, ignorant clown belong in jail.

https://t.co/zybQXCKD9u",Carlo
1338827064619708416,"RT @govkristinoem: Honored to receive this award from Moms for America. My legacy will be my children.

https://t.co/6oivCJWtlN",Derrick R. Jennings
1338827063432712192,"RT @SangerNYT: Sometime the news is in the news, and sometimes it is in the silences. Here, the silence from the President, the White House…",Sinéad Desmond
1338827056805765127,RT @BJP4India: We thank the people of Goa for their resounding endorsement of the politics of development envisioned by PM Shri @narendramo…,D S Reddy
1338827054452764678,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",JoAnne
1338827050468032512,RT @ABC: Retiring Rep. Paul Mitchell of Michigan says he is leaving the Republican Party and becoming an independent over his disgust with…,Dominique
1338827047628574720,"RT @SangerNYT: Sometime the news is in the news, and sometimes it is in the silences. Here, the silence from the President, the White House…",Dr. Diane Kistner
1338827047309889539,@Nivas_K_ @AnshumanSail @Nivas_K_ what are u trying to prove random guy like me by sharing the voice of disapproval… https://t.co/caZPlgsknk,BASU
1338827045195878400,"@The_GodParticle @JMaerth @thehill Another:
https://t.co/2cWMR1A8s5",Katherine K Hrithik Roshan Fan #vetsresist
1338827043270758401,"RT @jreynoldsMP: The difference we could make &gt;

Labour's £3bn welfare plan would lift 360,000 kids out of poverty, study shows https://t.c…",Manchester Withington CLP
1338827042805125121,@Kip_Kendrick Please don’t leave politics!,Master HAM
1338827041614024704,"@ProfTimBale Duller than a butter knife . I do remember when @Telegraph was a professionally run quality paper, reg… https://t.co/9KOnfa57hn",Richard Taylor
1338827032097140737,"RT @latimes: Republicans’ proposed COVID liability shield could undo California worker protections, advocates warn https://t.co/nvFpx9nP8p",Sarah D. Wire
1338827031954542592,RT @BillPascrell: Barr lied about the contents of the Mueller Report’s findings to the public right out of the gate and repeatedly lied abo…,JOSHUA J REYNOLDS
1338827031665111041,RT @HumansOfFlat: Poll: what are your politics and do you prefer working out alone or socially with a group/friend?,JackDandy
1338827028544491520,@ArthurCDent @holzprueghel @C_Kavanagh @aMarketDimlyLit @DuncanHenry8 @SeanV2Oh @BretWeinstein @CathyYoung63… https://t.co/FtjxkT8GqG,Mike Davey
1338827027625938944,RT @fred_guttenberg: Last night was a big deal.  We got to watch our next President begin the hard work of uniting America.  President Elec…,Bits336
1338827027122507778,RT @thejoshuablog: Via @RawStory: Trump may not run in 2024 — but he needs to pretend he will for attention: GOP sources https://t.co/uE2LF…,joshua epstein🏳️‍🌈🖖🏼🗽👨🏼‍💻🇺🇸
1338827026288046084,We congratulate @MarzouqAlghanim for him being elected (again) for the presidency of the National Assembly of Kuwai… https://t.co/U74HwoLGxq,thedeepmind
1338827024681537536,RT @stephenkb: This is really good by @Anoosh_C: an excellent summing up of the evidence in the Grenfell inquiry so far. Worth your time: h…,Mutley
1338827023154868225,"RT @ABC: Hillary Clinton, an elector in the state of New York, says ""we should abolish the Electoral College""—but that ""while it still exis…",Mary Calhoun
1338827023087628296,RT @BJP4India: We thank the people of Goa for their resounding endorsement of the politics of development envisioned by PM Shri @narendramo…,Nitin Bharadwaj
1338827021359656963,"RT @SocialistAnyDay: ""Ours is a politics of hope. Ours is a politics of determination. Ours is a politics of inclusion."" @jeremycorbyn 
Joi…",Durban Surf
1338827021061922817,"RT @risj_oxford: ""People who use social media for news are exposed to more and more different online news sources. The effect is stronger f…",J. T. LaSaine
1338827019975614465,RT @RationalWiki: I proudly voted for Boris Johnson in 2019 because I wanted to stick up two fingers to the establishment. Now he’s deliver…,Scatomancer Bob
1338827017991696384,You can still watch our Postgraduate Virtual Open Day talks on demand until Fri 18 Dec. We have a session on our in… https://t.co/OwHLB9z9dx,POLIS at Leeds
1338827017135984640,"RT @SangerNYT: Sometime the news is in the news, and sometimes it is in the silences. Here, the silence from the President, the White House…",꧁ 💜 𝔥𝔯𝕙𝓞Ⓡςħ𝐢𝓭 💜 ꧂
1338827014162276353,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",🙋🏻‍♀️®️sofi
1338827007812116483,"RT @MSNBC: ""As I saw that amicus brief as well as the discussions over the weekend in the national media, it became clear to me that I coul…",faye lee
1338827003982737408,@cordirez Why was he trending in politics though?,Enas
1338827003043069952,RT @ABC: Retiring Rep. Paul Mitchell of Michigan says he is leaving the Republican Party and becoming an independent over his disgust with…,Phyllis Kapelewski
1338827000660758529,RT @CNNPolitics: JUST IN: The Electoral College affirms President-elect Joe Biden's election victory https://t.co/jsgAL2P9zx https://t.co/J…,Adam Morley 🎗#FBPE
1338826997947109377,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,bee
1338826997934530562,RT @RussianEmbassy: President #Putin ’s annual news conference will take place on 17 December at 12:00 Moscow time (9:00 GMT). https://t.co…,Legal_Politics
1338826994646196232,This is my 4th account now. Just work this time. No politics or arguing over my right to exist.,Eliyana Evans
1338826994298073088,"RT @FreeNorthNow: 🎩
🧐: We must all tighten our belts

🟨🟥 Translation: We will further impoverish the North

https://t.co/RXxXodKyxs",kathleen stonehouse
1338826993601810432,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",SAMUEL MARTINEZ SIR
1338826993589075968,China urges Britain to abandon its double standards regarding #HK-related issues and respect the basic norms of int… https://t.co/KoGHsbZtDQ,China News 中国新闻网
1338826992691654657,"RT @kaitlancollins: For NSA Director Gen. Nakasone, the attack ranks among the biggest crises of his time in office...He'll have to answer…",SOUP BRIGADE COMMANDER- MIDWEST REGION
1338826991785529346,"RT @republic: Bukhari hits out at Gupkar gang, accuses them of 'playing politics on Article 370' https://t.co/NfKGrwmfGk",Mr. BANA
1338826991726891014,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",Hey C
1338826991647170560,RT @BernardKerik: Amistad: 'Bombshell' Antrim Audit May Impact 5 Swing States With Dominion https://t.co/AmK62QmwGm,Michael Murphy
1338826985687064579,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",🎸PhatGroovz🎸
1338826983892000769,"RT @FreeNorthNow: 🎩
🧐: We must all tighten our belts

🟨🟥 Translation: We will further impoverish the North

https://t.co/RXxXodKyxs",Leah
1338826980960198657,RT @premnsikka: Kent lorry park will not be ready in time for Brexit day deadline. Another monument to UK govt incompetence and inertia. Lo…,Darkchilde
1338826979982913536,@JoeBiden Good lesson in Politics you need to teach Trump before he leaves the office and the 70 million followers… https://t.co/cBjpv3dKgt,anthony murphy
1338826979265687574,"RT @simonlindgren: Super excited and happy that our project ""Cyborg Politics"" is funded by, and part of, the @wasp_hs programme by @Wstifte…",Wallenbergstiftelserna
1338826977789136896,RT @Shehzad_Ind: So AAP in Delhi notified the new farm laws and in its 2017 Punjab manifesto promised private push to agri markets and amen…,Anand
1338826977248227328,holy shit i passed texas politics what the fuck https://t.co/VBK6af9WXA,e10 h
1338826977046913024,"'“You could say this is our howdy-doody to the system,” said Shawn Meehan, another Republican who took part.'

Yup,… https://t.co/zcKbYWAA5S",Dr. Knickknack Onmyshoe
1338826973930524674,RT @kylegriffin1: Reminder: Trump said in November that he'd leave office if the Electoral College voted for Biden. https://t.co/qSpGrS0NKA,suz
1338826972567396352,RT @SPIRALlZE: unironically love when people just lie. like not about stuff that matters like politics or serious issues but when people ar…,alucinando
1338826972122796038,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",willy blanco
1338826967685214208,"RT @lisaocarroll: Brexit will hit UK economy like a 'slow puncture'  - interesting assessment of former boss of Siemens, member of Northern…",Rag-tag rent a Leftie
1338826965017653250,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",Donovan Truitt
1338826961544744960,"@_KB4 Chill man, just try to get your obligations done then join me immigrate to italy. I have a plan and many side… https://t.co/kzJolah3Em",Mohalhel Alkulaib ♌️
1338826961263742979,The Leave voter's guide to who to blame for Brexit https://t.co/SfevnyuX0K,tony powell 🏴󠁧󠁢󠁷󠁬󠁳󠁿 🇪🇺 🏴󠁦󠁲󠁢󠁲󠁥󠁿#FBPE
1338826960622018561,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",Tammi
1338826960030625792,"My Pop-pop and I rarely agreed on politics. Instead of arguing, I’d call and ask “What do you think about [topic]?”… https://t.co/LWF7CHHa56",Jessica Manna
1338826958470262785,"@avischarf @Natsecjeff Think they travelled, Indonesia - Pakistan - Jordan - Israel?",Israel Politics
1338826958000558080,"RT @Slate: Trumpworld downplayed the impact of the coronavirus, while taking zero personal responsibility for spreading it liberally amongs…",Ernie Schell
1338826956415053825,RT @BernardKerik: Amistad: 'Bombshell' Antrim Audit May Impact 5 Swing States With Dominion https://t.co/AmK62QmwGm,Raymond #MerciNS
1338826955270074368,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",Mgill-usa
1338826954255048706,@RailoReina @DrRichardGravy @1Geepster @arusbridger @mrjamesob Go back to complaining about kids learning about cri… https://t.co/EeWiPK3mn3,Pru
1338826952606683137,Can’t wait for #putinspuppet to leave the country now https://t.co/eqmUW08cZk,Victoria
1338826952287903744,RT @ClaudiaChwalisz: This is a consequence of how participation initiatives are often designed and the incentives created to participate or…,Supriya Trivedi
1338826948882022400,RT @freep: BREAKING: Judge orders release of report examining Antrim County vote tabulators https://t.co/MxscxgyW75,Lee ho
1338826947921588224,RT @MotherJones: What Biden can do to boost the economy without any help from Congress https://t.co/1p0QUlfS8k,David Corn
1338826945602129921,"#HoldTheLinePatriots 👊🇺🇲
Stephen Miller: Donald Trump Allowed to Contest Election Until January 20… https://t.co/Rt9x6XHDNw",JacQueline KrakQueline 🌟🌟🌟
1338826945283432448,"@washingtonpost The whole aim of practical politics
is to keep the populace alarmed
(and hence clamorous to be led… https://t.co/DjsDv9s1DC",Harrison Pratt
1338826944419389442,"Bukhari hits out at Gupkar gang, accuses them of 'playing politics on Article 370' https://t.co/NfKGrwmfGk",Republic
1338826942171275266,"RT @SangerNYT: Sometime the news is in the news, and sometimes it is in the silences. Here, the silence from the President, the White House…",Lissa
1338826940711657474,"@thehill US politics in a great divide , this is setting the scene for China to take over as  the world dominant po… https://t.co/dpdq0Sohlb",Truth and nothing but the truth
1338826936827699200,"RT @CarolynBMaloney: The Electoral College is meeting to cast their votes for President and Vice President.

They will confirm that Joe Bid…",Barry Nolan
1338826932809502722,RT @sunlorrie: As opposed to Catherine McKenna misleading us before last yr's federal election that Trudeau's carbon tax would be frozen at…,Scott Pettapiece
1338826931874263041,RT @awilosman_: KE emptied all thier diplomatic munition against 🇸🇴. They have zero retaliation moves in the book. They have reached the hi…,DUBAD🇸🇴
1338826931458826240,RT @SharadPandian: Finally watching The Legend of Korra and this has the worst politics of any show I've ever watched. Maybe the Avatar sho…,廖顯禕 / Shen-yi Liao
1338826929864990721,RT @PippaCrerar: Full story here: https://t.co/pCOJGnzRBQ,Christine M Hansen 🌹🔥✊❤️✌️🌻
1338826929332342786,Doubt regrding vaccination becomes valid once because of politics involved,Mark
1338826929210855425,The many years of Women telling themselves that they had to be work 5 times harder than the most mediocre privilege… https://t.co/5RQ5X8XmSM,Cecilia Is Smart
1338826929105989636,"Opinion: “The 23-year-old book that explains Brexit – and beyond.”

@campbellclaret on a book that foreshadowed and… https://t.co/15B1Ne1SF7",Tortoise — a different kind of newsroom
1338826927486988290,"A man must only tweet about football, cars, politics, and the like.",MAMA NASTY.
1338826926283231234,Congo President Tshisekedi says most lawmakers back his vision https://t.co/kVQbhnpxvp,Reuters Africa
1338826925196849153,@Stephen35572197 @PCee52 Graham is an opportunist. Of course he’ll buddy up and call what he’s done “politics”. I p… https://t.co/kUuooA3cF3,CC Railey
1338826924131540992,RT @nytimes: The Trump administration issued sanctions against Turkey’s military acquisitions agency to punish the NATO ally more than thre…,MA Grey
1338826919647858688,RT @fred_guttenberg: Last night was a big deal.  We got to watch our next President begin the hard work of uniting America.  President Elec…,Rangermoose1
1338826918829887490,"The Latest: Fauci says vaccinate Biden, Harris, Trump, Pence https://t.co/fWmS8hXQhd",Ross Palombo
1338826916753715200,"All this proves is Biden's culpability in the fraud. After all, he admitted this: 
""We have put together I think th… https://t.co/pIknPgr76x",Chassie
1338826916501975040,"Full support si mister!
https://t.co/doBgkiLsoj
#MindanaoSnitch
#OmarDuterte",Politiko_VisMin
1338826915763916801,RT @premnsikka: Kent lorry park will not be ready in time for Brexit day deadline. Another monument to UK govt incompetence and inertia. Lo…,Child of Alba 🏴󠁧󠁢󠁳󠁣󠁴󠁿
1338826915625385986,"RT @washingtonpost: Analysis: Trump, who often portrayed liberal protesters as ""thugs,"" is silent on violence among his supporters https://…",Gentleman of Leisure
1338826915491147779,RT @kylegriffin1: Reminder: Trump said in November that he'd leave office if the Electoral College voted for Biden. https://t.co/qSpGrS0NKA,Akhil Nayak
1338826915394826249,@minnierahman It'd be really to mean to say that by the end of this week I intend to be up-to-date and take the fol… https://t.co/AbnZqGqHQH,Dan Sohege
1338826914723663873,SSM Health St. Mary's Hospital to get thousands of doses on Tuesday. https://t.co/lSFA6jPJ6g,madison.com
1338826914400628736,"After the White House, Trump faces uncertain future and legal threats https://t.co/C3DhB4gn64 One would think that… https://t.co/WEWEs2Ox0b",4u2c
1338826913268158471,RT @Shehzad_Ind: So AAP in Delhi notified the new farm laws and in its 2017 Punjab manifesto promised private push to agri markets and amen…,bimal Kumar
1338826910936264704,The meeting between Antony Blinken and Pompeo this week will mark the first formal recognition by President Donald… https://t.co/fEyFt5OGvE,Adam Levine
1338826910420361216,"RT @CNNPolitics: Rep. Paul Mitchell announces he's quitting the Republican Party, citing President Trump's efforts to overturn the election…",Thomas Jerome Baker
1338826908088168448,@BhaktInExile @bosechem But as Bengal is my home state i am sure about this BJP is not winning mainly bcs of there… https://t.co/qQEygJZZlJ,Amit Gupta
1338826907446546432,"RT @wesrap: TX presidential electors cast all 38 votes for Trump &amp; Pence... they also voted to ""condemn"" SCOTUS tossing out TX election law…",🅺🅲🅷🅰🅼🅰🆃
1338826901541056513,RT @markhipwell1990: Pushing back or canceling the Eastern Leg would be a huge blow to any attempt to level up the Midlands &amp; the North and…,Simon “Kinematic” K
1338826900664356867,RT @OlgaNYC1211: Scope of Russian Hack Becomes Clear: Multiple U.S. Agencies Were Hit https://t.co/XN7XaaXAWy,End The Madness
1338826900043673600,Top Republicans seek COVID-19 relief before holidays https://t.co/sepfOltG1z #FoxNews Pelosi still blocking relief package!,Jeff Johnson
1338826899636842500,RT @CentricNeil: @mrdanwalker @Lord_Sugar @piersmorgan @GMB It's all to do with the new politics of division. This is how English people ta…,Sheila Scoular
1338826899380965377,RT @Dorianlynskey: All I want for Christmas is for one terrible person in politics or the media to face some kind of consequences for their…,AKA-AKS
1338826897111855104,"RT @harry_davies_: Whether you love their politics or hate it, good independent left-wing media is few and far between. I love Novara's con…",Novara Media
1338826896029724672,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",Kris
1338826894544752641,"They're incorrigible. Graham, Grassley, Barrasso, Ernst, Cramer et al  Don't forget their bad behavior.… https://t.co/ORbvb8u8ij",Patricia
1338826890874937349,RT @Dorianlynskey: All I want for Christmas is for one terrible person in politics or the media to face some kind of consequences for their…,EmpatheticMercenary #EndSARS
1338826889897664513,"RT @Gideonarchitect: These three musketeers have survived in politics just by merely "" Threatening to run for President"" 😂😂😂😂 https://t.co/…",𓂀
1338826889092325380,RT @inyoungk: Analysts said it was hard to know which was worse: that the federal government was blindsided again by Russian intelligence a…,Connie1960
1338826884101050370,"RT @lisaocarroll: Brexit will hit UK economy like a 'slow puncture'  - interesting assessment of former boss of Siemens, member of Northern…",Saturdayartisan
1338826882351988736,"RT @JuliusGoat: Appoint her by executive order in the break, then.

Or appoint her as ""acting"" AG indefinitely. We already know that's allo…",Kim Palismo
1338826882297434118,"RT @EconomicTimes: ""For the last 7-8 months, doctors have not been given any break and are continuously working. You take instruction and t…",धर्मों रक्षति रक्षित 🇮🇳
1338826881253126146,"RT @NYDailyNews: America voted. The Supreme Court ruled. Now, the Electoral College affirms Biden's win over conspiracy-mad president...

I…",Monica
1338826879222968320,"RT @INCMinority: Constructing palatial structures at the time when country is in recession is certainly not in the interest of nation, but…",Ch. Alisher Tonka
1338826878359056384,"Attorney General William Barr resigns. ⁦@realDonaldTrump⁩ is up to no good. 
https://t.co/GrLPRzyqwl #sneaky #LOSER",MommaGoose5006
